dataset,multiclass,smoke,n_full,n_used,subsampled,split_type,seed,k,model,accuracy,auroc,f1,n_train,n_test,pos_frac_train,pos_frac_test,target_test_frac
human_nontata_promoters,False,False,36131,20000,True,homology@0.9,1,4,RF,0.8463536463536464,0.9420568504290749,0.8478733926805143,14995,5005,0.5441813937979326,0.5436563436563436,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.9,1,6,LR,0.852947052947053,0.9235044162578016,0.8576952822892498,14995,5005,0.5441813937979326,0.5436563436563436,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.9,1,6,RF,0.8799200799200799,0.9673336751001326,0.8839544313574049,14995,5005,0.5441813937979326,0.5436563436563436,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.9,2,4,LR,0.8276689324270292,0.8949776214066283,0.8322304398598677,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.9,2,4,RF,0.8526589364254298,0.9434089608789094,0.8532749352976309,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.9,2,6,LR,0.8548580567772891,0.9249265419188376,0.8591931730023273,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.9,2,6,RF,0.8778488604558177,0.9671523109025375,0.8823869104908566,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology_droplargest@0.7,0,4,LR,0.8113245702730031,0.8833770910504232,0.8206114208805999,14829,4945,0.5502731134938297,0.550252780586451,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology_droplargest@0.7,0,4,RF,0.8149646107178968,0.893695104555826,0.8244772683675426,14829,4945,0.5502731134938297,0.550252780586451,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology_droplargest@0.7,0,6,LR,0.8270980788675429,0.9018156478125108,0.8379761227970438,14829,4945,0.5502731134938297,0.550252780586451,0.25005
