dataset,scale,n_used,split_type,seed,k,model,accuracy,auroc,f1
drosophila_enhancers_stark,subsample,6914,random,2,4,LR,0.6861271676300578,0.7298887366768019,0.7047308319738989
drosophila_enhancers_stark,subsample,6914,random,2,4,LinearSVC,0.6919075144508671,0.7339182732466838,0.710168569874932
drosophila_enhancers_stark,subsample,6914,random,2,4,RF,0.6751445086705202,0.7245808413244679,0.6958874458874459
drosophila_enhancers_stark,subsample,6914,random,2,4,HGB,0.6797687861271676,0.738011961642554,0.6995661605206074
drosophila_enhancers_stark,subsample,6914,homology@0.7,0,4,LR,0.6776429809358753,0.7292666777023672,0.6950819672131148
drosophila_enhancers_stark,subsample,6914,homology@0.7,0,4,LinearSVC,0.6683997689196995,0.7261001436421016,0.6853070175438597
drosophila_enhancers_stark,subsample,6914,homology@0.7,0,4,RF,0.6811091854419411,0.7278816527919432,0.7051282051282052
drosophila_enhancers_stark,subsample,6914,homology@0.7,0,4,HGB,0.6764875794338533,0.732068766653673,0.6963123644251626
drosophila_enhancers_stark,subsample,6914,homology@0.7,1,4,LR,0.6891969959560947,0.753513605878081,0.7047200878155873
drosophila_enhancers_stark,subsample,6914,homology@0.7,1,4,LinearSVC,0.6891969959560947,0.7502736661113247,0.7011111111111111
drosophila_enhancers_stark,subsample,6914,homology@0.7,1,4,RF,0.682842287694974,0.747123168439489,0.7014681892332789
drosophila_enhancers_stark,subsample,6914,homology@0.7,1,4,HGB,0.6868861929520509,0.7595436050237088,0.7054347826086956
drosophila_enhancers_stark,subsample,6914,homology@0.7,2,4,LR,0.6886192952050838,0.7419314789796604,0.7056253413435282
drosophila_enhancers_stark,subsample,6914,homology@0.7,2,4,LinearSVC,0.6874638937030618,0.7412519824211972,0.7009397457158651
drosophila_enhancers_stark,subsample,6914,homology@0.7,2,4,RF,0.6666666666666666,0.7319239230847274,0.6896180742334589
drosophila_enhancers_stark,subsample,6914,homology@0.7,2,4,HGB,0.6770652801848642,0.7389651894847574,0.6963606735469854
drosophila_enhancers_stark,subsample,6914,original,-1,6,LR,0.7179190751445087,0.786945103411407,0.7309812568908489
